Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,68.589996,70.279999,67.879997,68.989998,65.462212,4604000
2020-06-02,70.209999,72.480003,69.339996,70.900002,67.274559,5559600
2020-06-03,72.970001,75.169998,72.360001,74.339996,70.538643,5698000
2020-06-04,73.970001,77.160004,72.720001,77.150002,73.204941,4369200
2020-06-05,84.870003,85.220001,78.300003,79.019997,74.979317,7549500
2020-06-08,81.230003,82.150002,78.940002,80.000000,75.909225,7022200
2020-06-09,77.010002,79.339996,76.449997,78.470001,74.457451,3873000
2020-06-10,77.830002,78.379997,71.800003,71.800003,68.128525,7791100
2020-06-11,66.709999,70.160004,66.019997,66.120003,62.738979,6429500
2020-06-12,70.260002,70.699997,67.080002,70.629997,67.018349,5173000
2020-06-15,66.500000,72.199997,66.150002,71.169998,67.530731,4043200
2020-06-16,75.080002,75.360001,70.419998,73.599998,69.836479,5360100
2020-06-17,73.580002,73.949997,71.220001,71.470001,67.815399,2951700
2020-06-18,70.470001,71.669998,69.419998,69.980003,66.401596,3581900
2020-06-19,71.680000,71.680000,67.309998,68.070000,64.589264,6015800
2020-06-22,68.580002,70.150002,67.900002,68.300003,64.807495,3798300
2020-06-23,69.570000,70.190002,68.830002,69.570000,66.012543,2367100
2020-06-24,68.440002,68.440002,64.989998,65.459999,62.112705,3728800
2020-06-25,64.860001,67.389999,64.040001,67.040001,63.611919,4257400
2020-06-26,65.540001,65.540001,60.840000,61.160000,58.032593,8718700
2020-06-29,61.840000,62.980000,60.759998,62.380001,59.190216,3461800
2020-06-30,62.080002,63.369999,61.650002,62.590000,59.389477,4061400
2020-07-01,62.849998,64.250000,60.169998,60.700001,57.596123,3404500
2020-07-02,62.270000,63.250000,60.720001,61.150002,58.023106,3376200
2020-07-06,63.080002,63.540001,61.590000,62.650002,59.446407,2644800
2020-07-07,61.910000,61.910000,59.740002,59.910000,56.846512,3036000
2020-07-08,59.759998,61.459999,59.200001,61.389999,58.250839,3087700
2020-07-09,60.990002,61.200001,57.299999,58.349998,55.366280,4076400
2020-07-10,58.180000,60.840000,57.869999,60.799999,57.691010,3138000
2020-07-13,61.580002,63.110001,59.759998,61.560001,58.412144,3808500
2020-07-14,61.169998,61.959999,60.060001,60.680000,57.577137,4071400
2020-07-15,62.410000,63.810001,61.580002,63.680000,60.423733,3185300
2020-07-16,62.759998,64.540001,62.410000,63.360001,60.120102,2960300
2020-07-17,63.360001,63.389999,61.660000,61.990002,58.820152,2485400
2020-07-20,61.419998,61.990002,60.470001,60.840000,57.728962,3063200
2020-07-21,61.509998,63.060001,61.200001,62.869999,59.655159,4416500
2020-07-22,60.490002,64.959999,60.299999,64.050003,60.774818,10854700
2020-07-23,63.650002,66.040001,63.360001,65.400002,62.055786,4594600
2020-07-24,65.410004,65.779999,64.720001,65.059998,61.733181,2194800
2020-07-27,64.480003,65.980003,63.060001,65.739998,62.378391,3736600
2020-07-28,65.019997,65.809998,63.959999,64.099998,60.822262,3132300
2020-07-29,64.120003,66.410004,63.639999,66.379997,62.985661,1800600
2020-07-30,64.519997,65.209999,63.439999,64.839996,61.524422,1915900
2020-07-31,64.790001,64.790001,62.750000,63.799999,60.537598,1992200
2020-08-03,63.930000,64.510002,63.200001,63.490002,60.243450,1792200
2020-08-04,63.200001,63.740002,62.650002,63.240002,60.006233,1828500
2020-08-05,63.980000,64.879997,63.450001,64.669998,61.363117,2167400
2020-08-06,64.010002,65.309998,63.310001,63.549999,60.300381,2880600
2020-08-07,62.919998,66.040001,62.259998,65.750000,62.486221,3832600
2020-08-10,66.099998,67.940002,66.000000,67.410004,64.063828,2711100
2020-08-11,69.589996,71.879997,69.370003,69.629997,66.173607,3146100
2020-08-12,71.000000,71.900002,67.019997,68.150002,64.767075,2595300
2020-08-13,67.239998,68.580002,66.800003,67.639999,64.282387,2965300
2020-08-14,67.180000,69.959999,66.360001,69.470001,66.021545,2956900
2020-08-17,69.279999,69.440002,66.769997,66.790001,63.474602,2911100
2020-08-18,67.139999,67.139999,65.320000,65.470001,62.220112,2732200
2020-08-19,65.589996,66.870003,65.059998,65.699997,62.438694,2495800
2020-08-20,64.529999,64.820000,63.810001,64.269997,61.079678,2544400
2020-08-21,64.290001,64.809998,63.389999,63.799999,60.633007,1609700
2020-08-24,64.190002,67.440002,63.930000,67.360001,64.016296,2615200
2020-08-25,68.349998,69.059998,66.370003,66.910004,63.588634,1966200
2020-08-26,66.910004,67.120003,65.739998,66.279999,62.989906,1792000
2020-08-27,66.190002,69.949997,66.139999,69.610001,66.154617,3898000
2020-08-28,70.050003,71.209999,69.519997,71.129997,67.599144,3582600
2020-08-31,70.980003,71.129997,68.949997,69.029999,65.603409,3043800
2020-09-01,67.919998,69.449997,67.500000,68.580002,65.175743,1523700
2020-09-02,68.400002,69.750000,68.160004,69.370003,65.926514,1470200
2020-09-03,70.000000,71.879997,69.050003,69.919998,66.449211,2313700
2020-09-04,72.349998,74.480003,71.440002,73.989998,70.317184,5011600
2020-09-08,72.360001,72.529999,70.309998,70.360001,66.867371,3374000
2020-09-09,71.300003,71.300003,69.790001,70.570000,67.066963,2574700
2020-09-10,71.199997,72.550003,69.290001,69.419998,65.974045,2626500
2020-09-11,69.510002,71.250000,68.970001,71.050003,67.523125,2212700
2020-09-14,71.879997,75.080002,71.720001,74.639999,70.934921,3557400
2020-09-15,74.430000,74.739998,72.680000,73.300003,69.661430,2671900
2020-09-16,73.449997,76.860001,72.209999,76.169998,72.388977,3693600
2020-09-17,74.760002,77.500000,74.379997,75.980003,72.208412,3189800
2020-09-18,75.760002,76.839996,75.010002,75.790001,72.027840,3047900
2020-09-21,72.870003,73.459999,70.839996,71.650002,68.093346,3954400
2020-09-22,71.290001,72.260002,68.550003,69.959999,66.487228,3187700
2020-09-23,70.250000,71.290001,68.000000,68.129997,64.748070,4409000
2020-09-24,68.139999,69.370003,66.459999,68.099998,64.719559,3324200
