Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,307.899994,309.739990,306.459991,308.290009,293.836365,2293700
2020-06-02,307.950012,309.019989,304.720001,307.089996,292.692688,2528900
2020-06-03,307.500000,308.200012,305.920013,306.640015,292.263733,2165900
2020-06-04,310.850006,315.350006,309.089996,310.750000,296.181091,4553900
2020-06-05,313.130005,313.630005,307.290009,312.040009,297.410553,4375600
2020-06-08,310.660004,311.290009,306.459991,307.190002,292.788025,3764500
2020-06-09,307.500000,308.600006,305.170013,305.549988,291.224823,3155800
2020-06-10,306.480011,308.630005,305.649994,307.329987,292.921356,2713700
2020-06-11,306.989990,309.200012,300.640015,300.829987,286.726105,3443000
2020-06-12,302.670013,305.149994,296.250000,298.700012,284.695984,4020000
2020-06-15,297.049988,298.070007,293.839996,297.179993,283.247253,3266800
2020-06-16,301.350006,302.739990,299.220001,301.359985,287.231232,2633800
2020-06-17,301.019989,302.000000,298.899994,299.609985,285.563293,2188400
2020-06-18,300.000000,300.809998,297.790009,299.570007,285.525208,1881800
2020-06-19,300.179993,301.899994,298.640015,299.899994,285.839691,3438000
2020-06-22,299.700012,301.480011,298.250000,300.450012,286.363953,2094400
2020-06-23,301.730011,304.899994,300.730011,301.290009,287.164581,2409600
2020-06-24,300.769989,301.279999,296.600006,298.019989,284.047821,2398100
2020-06-25,297.059998,301.149994,295.399994,300.529999,286.440186,2274300
2020-06-26,300.410004,302.119995,295.950012,296.559998,282.656311,2866000
2020-06-29,297.440002,301.630005,296.829987,301.589996,287.450470,1841700
2020-06-30,301.010010,304.619995,300.140015,303.209991,288.994507,2391700
2020-07-01,302.500000,305.579987,300.750000,304.750000,290.462280,1906100
2020-07-02,306.000000,308.920013,304.600006,305.739990,291.405884,2540500
2020-07-06,307.529999,311.559998,307.239990,311.489990,296.886353,2332400
2020-07-07,310.019989,318.049988,309.720001,316.230011,301.404144,3346600
2020-07-08,317.140015,318.049988,314.010010,316.320007,301.489868,2364500
2020-07-09,320.000000,328.980011,319.679993,325.540009,310.277588,5313600
2020-07-10,326.000000,327.399994,323.109985,326.230011,310.935333,2484100
2020-07-13,326.299988,329.109985,321.500000,322.920013,307.780457,2583200
2020-07-14,321.320007,328.660004,320.450012,328.000000,312.622284,1844800
2020-07-15,328.100006,329.320007,325.619995,326.700012,311.383240,1770700
2020-07-16,326.619995,327.899994,324.059998,326.269989,310.973389,1402000
2020-07-17,327.299988,327.799988,324.579987,324.790009,309.562775,1768100
2020-07-20,324.890015,327.440002,322.660004,326.510010,311.202148,1863300
2020-07-21,327.000000,331.489990,326.500000,327.739990,312.374542,1874200
2020-07-22,329.649994,329.660004,325.010010,328.299988,312.908203,1312600
2020-07-23,328.100006,330.380005,325.329987,326.109985,310.820923,1561700
2020-07-24,326.220001,328.750000,324.670013,325.779999,310.506378,1423400
2020-07-27,325.679993,329.000000,325.179993,327.600006,312.241028,2083300
2020-07-28,327.970001,330.000000,325.820007,327.570007,312.212463,1374000
2020-07-29,327.019989,328.040009,325.390015,326.140015,310.849548,1341300
2020-07-30,322.690002,326.450012,322.000000,324.820007,310.257294,1390300
2020-07-31,324.820007,326.309998,322.549988,325.529999,310.935486,2149900
2020-08-03,325.549988,329.890015,324.299988,329.320007,314.555511,2480200
2020-08-04,329.559998,339.820007,328.920013,339.790009,324.556152,3933300
2020-08-05,341.859985,342.730011,337.589996,339.970001,324.728058,2923700
2020-08-06,342.410004,345.119995,341.609985,343.309998,327.918274,2104300
2020-08-07,343.140015,344.730011,339.630005,340.910004,325.625946,1759000
2020-08-10,340.709991,341.070007,338.579987,340.000000,324.756744,1503800
2020-08-11,340.850006,340.850006,331.799988,332.429993,317.526123,2065600
2020-08-12,333.750000,338.899994,333.170013,336.760010,321.662048,1853900
2020-08-13,336.989990,339.459991,335.130005,335.700012,320.649567,1536500
2020-08-14,336.529999,338.760010,335.600006,336.279999,321.203583,1522900
2020-08-17,337.649994,340.369995,337.359985,339.959991,324.718536,1504700
2020-08-18,341.000000,342.799988,336.809998,340.750000,325.473175,1489400
2020-08-19,341.119995,341.940002,339.950012,340.899994,325.616425,1730100
2020-08-20,340.140015,341.660004,338.739990,340.869995,325.587708,1717500
2020-08-21,340.070007,345.839996,339.329987,344.609985,329.160034,2372600
2020-08-24,345.109985,346.109985,342.109985,344.130005,328.701599,1461500
2020-08-25,344.140015,344.910004,341.459991,344.709991,329.255554,1176200
2020-08-26,343.010010,344.829987,341.690002,344.269989,328.835266,1757000
2020-08-27,345.609985,347.739990,342.549988,346.359985,330.831604,2220700
2020-08-28,347.470001,349.059998,345.500000,348.369995,332.751495,1487300
2020-08-31,346.850006,348.750000,344.290009,347.660004,332.073334,1586900
2020-09-01,345.709991,351.489990,345.410004,351.380005,335.626526,1773700
2020-09-02,353.609985,359.920013,351.309998,358.859985,342.771179,2434900
2020-09-03,363.070007,363.670013,345.519989,348.299988,332.684570,3630400
2020-09-04,353.980011,353.980011,340.399994,346.570007,331.032166,2557000
2020-09-08,343.839996,344.920013,338.179993,338.859985,323.667816,2144300
2020-09-09,340.899994,349.700012,340.390015,346.429993,330.898376,2100900
2020-09-10,346.269989,348.000000,338.760010,339.529999,324.307770,1959600
2020-09-11,340.279999,343.260010,336.100006,339.130005,323.925720,1599600
2020-09-14,340.989990,344.839996,340.470001,342.920013,327.545807,1522300
2020-09-15,345.019989,347.760010,342.750000,343.910004,328.491425,1362500
2020-09-16,347.269989,348.760010,343.250000,343.730011,328.319550,1656500
2020-09-17,339.579987,342.890015,336.369995,338.880005,323.686981,2681500
2020-09-18,340.200012,341.220001,331.200012,335.959991,320.897858,3409300
2020-09-21,333.970001,339.619995,333.709991,339.570007,324.346039,2427400
2020-09-22,340.700012,344.899994,339.589996,344.450012,329.007263,2128100
2020-09-23,348.000000,348.250000,344.059998,344.630005,329.179108,3577100
2020-09-24,345.000000,347.329987,338.309998,347.000000,331.442963,5779300
2020-09-25,340.739990,343.769989,335.359985,342.579987,327.221069,7338500
2020-09-28,343.760010,349.769989,343.100006,349.619995,333.945496,3459200
2020-09-29,348.950012,354.290009,347.100006,352.140015,336.352448,2526000
2020-09-30,352.559998,357.700012,351.170013,355.000000,339.084229,2525800
2020-10-01,356.260010,359.690002,354.820007,358.459991,342.389130,2053000
2020-10-02,354.730011,357.839996,352.850006,355.010010,339.093781,2125000
2020-10-05,355.329987,358.980011,355.329987,358.579987,342.503754,2093500
2020-10-06,361.899994,363.000000,357.040009,358.350006,342.284027,2760400
2020-10-07,360.470001,364.739990,359.660004,363.019989,346.744690,1959100
2020-10-08,364.799988,365.970001,361.750000,365.089996,348.721924,1793100
2020-10-09,366.000000,369.750000,365.700012,369.459991,352.895935,1730700
2020-10-12,371.000000,380.660004,370.769989,376.480011,359.601257,2806900
2020-10-13,378.420013,382.290009,376.480011,380.679993,363.612885,1823300
2020-10-14,382.890015,383.869995,376.700012,378.339996,361.377808,1904400
2020-10-15,376.459991,378.359985,373.059998,376.579987,359.696747,1697800
2020-10-16,380.500000,384.869995,379.119995,381.540009,364.434387,2459400
2020-10-19,382.029999,383.089996,374.709991,375.559998,358.722443,1938100
2020-10-20,377.690002,382.079987,376.119995,378.309998,361.349243,1282300
2020-10-21,378.559998,381.279999,377.019989,377.820007,360.881134,1466500
2020-10-22,377.350006,378.380005,372.029999,375.750000,358.903961,1813200
2020-10-23,375.609985,376.519989,373.559998,374.600006,357.805450,1108000
2020-10-26,366.679993,372.630005,366.119995,370.709991,354.089844,2145000
2020-10-27,368.769989,374.910004,368.769989,372.720001,356.009796,1525400
2020-10-28,367.329987,372.410004,364.670013,364.959991,348.597687,1908300
2020-10-29,363.230011,369.089996,362.510010,364.859985,349.171906,1838500
2020-10-30,361.130005,363.850006,355.790009,357.619995,342.243195,2724100
2020-11-02,362.220001,365.660004,360.709991,364.390015,348.722137,1646300
2020-11-03,368.940002,374.799988,367.890015,371.959991,355.966614,2013100
2020-11-04,374.019989,381.640015,374.000000,376.170013,359.995575,2449800
2020-11-05,382.480011,386.579987,379.500000,385.230011,368.666077,2255800
2020-11-06,381.880005,386.799988,380.890015,385.660004,369.077576,1950200
2020-11-09,388.250000,389.500000,364.760010,365.000000,349.305847,4371300
2020-11-10,363.880005,371.540009,360.589996,366.619995,350.856201,2662600
