Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,45.400002,45.970001,45.009998,45.200001,43.115681,8931500
2020-06-02,45.240002,46.230000,45.139999,45.980000,43.859707,9959000
2020-06-03,46.349998,46.720001,46.080002,46.450001,44.308037,7599200
2020-06-04,51.340000,51.880001,48.799999,49.360001,47.083847,32274600
2020-06-05,49.240002,49.700001,48.240002,48.820000,46.568748,16332600
2020-06-08,48.299999,49.049999,47.840000,48.720001,46.473362,12182400
2020-06-09,48.869999,50.000000,48.570000,49.750000,47.455868,9699800
2020-06-10,50.250000,50.340000,49.070000,49.250000,46.978920,10545900
2020-06-11,49.430000,49.820000,47.689999,47.939999,45.729324,10563900
2020-06-12,48.389999,48.830002,46.849998,47.660000,45.462234,10056500
2020-06-15,46.939999,48.119999,46.639999,47.889999,45.681633,12464800
2020-06-16,48.490002,48.730000,47.540001,48.119999,45.901020,9642900
2020-06-17,48.259998,49.099998,48.209999,48.430000,46.196739,9692100
2020-06-18,48.549999,49.090000,48.180000,48.439999,46.206272,11344000
2020-06-19,48.730000,48.950001,47.419998,48.290001,46.063194,36555400
2020-06-22,48.340000,49.320000,48.009998,49.160000,46.893066,9223500
2020-06-23,49.590000,50.320000,49.099998,49.799999,47.503555,12289300
2020-06-24,49.799999,50.450001,48.650002,48.770000,46.521053,13009000
2020-06-25,48.720001,49.540001,48.410000,49.400002,47.122002,10268700
2020-06-26,50.889999,51.279999,50.080002,50.889999,48.543297,17762400
2020-06-29,51.070000,51.340000,50.119999,51.310001,48.943928,8933900
2020-06-30,51.419998,52.750000,51.320000,52.450001,50.031361,10559900
2020-07-01,52.709999,53.430000,51.320000,52.959999,50.517838,12879800
2020-07-02,53.590000,54.880001,53.549999,54.360001,51.853283,8468400
2020-07-06,55.490002,56.970001,54.939999,56.169998,53.579815,9889300
2020-07-07,55.950001,57.549999,55.930000,57.000000,54.371544,10641800
2020-07-08,57.349998,58.459999,57.160000,58.270000,55.582977,11127200
2020-07-09,58.730000,60.529999,58.520000,59.220001,56.489174,15414600
2020-07-10,59.349998,59.889999,58.119999,59.270000,56.536869,11750700
2020-07-13,60.290001,61.060001,57.889999,58.299999,55.611591,13128100
2020-07-14,57.750000,59.290001,57.279999,59.080002,56.355629,10054000
